h,s,v,value
27,109,196,0
27,111,197,0
27,110,199,0
27,114,199,0
26,117,199,0
26,120,197,0
26,121,198,0
26,121,198,0
26,119,197,0
26,118,199,0
26,116,200,0
26,116,200,0
26,117,200,0
26,118,199,0
26,119,199,0
26,116,200,0
27,114,197,0
27,111,197,0
27,111,197,0
27,111,198,0
27,110,199,0
27,111,198,0
27,111,197,0
27,112,196,0
27,112,196,0
27,112,195,0
27,112,195,0
27,112,196,0
27,112,195,0
27,113,194,0
27,112,195,0
27,112,196,0
27,114,193,0
27,112,195,0
27,115,195,0
27,116,194,0
27,117,194,0
27,116,196,0
27,118,196,0
27,120,194,0
27,118,197,0
27,118,196,0
27,119,195,0
27,119,195,0
27,116,195,0
27,116,196,0
27,115,198,0
27,117,199,0
26,118,201,0
27,121,201,0
26,119,199,0
26,120,197,0
26,118,196,0
26,117,198,0
26,114,201,0
26,113,203,0
26,112,200,0
26,114,197,0
26,112,196,0
26,111,198,0
26,111,197,0
26,112,195,0
26,109,197,0
26,107,201,0
26,108,199,0
26,107,200,0
26,107,201,0
26,107,200,0
26,109,197,0
26,109,196,0
26,110,195,0
26,109,196,0
26,109,196,0
26,110,195,0
26,109,197,0
26,108,199,0
26,108,198,0
26,110,195,0
26,110,194,0
26,110,195,0
26,108,193,0
26,108,193,0
26,107,195,0
26,107,196,0
27,109,197,0
27,109,196,0
27,106,192,0
27,107,190,0
27,99,193,0
27,95,196,0
27,90,193,0
27,90,188,0
27,109,197,0
27,110,199,0
27,110,200,0
27,113,200,0
26,116,200,0
26,119,199,0
26,120,199,0
26,120,199,0
26,117,200,0
26,117,201,0
26,115,202,0
26,115,202,0
26,117,201,0
26,117,200,0
26,119,199,0
26,116,200,0
27,114,197,0
27,111,197,0
27,111,198,0
27,110,199,0
27,110,200,0
27,110,200,0
27,110,199,0
27,111,198,0
27,112,196,0
27,113,194,0
27,113,194,0
27,112,196,0
27,112,196,0
27,112,195,0
27,112,195,0
27,112,196,0
27,113,194,0
27,114,197,0
27,113,198,0
27,115,198,0
27,115,198,0
27,114,199,0
27,117,198,0
27,118,196,0
27,117,198,0
27,118,197,0
27,118,197,0
27,118,196,0
27,116,196,0
27,115,197,0
27,115,197,0
27,117,198,0
26,119,200,0
27,122,199,0
26,120,198,0
26,121,196,0
26,119,195,0
26,118,196,0
26,116,198,0
26,115,200,0
26,114,196,0
26,116,194,0
26,112,196,0
26,110,199,0
26,111,198,0
26,114,193,0
26,115,191,0
26,114,193,0
26,111,198,0
26,110,199,0
26,110,200,0
26,109,201,0
26,109,201,0
26,109,201,0
26,110,199,0
26,111,198,0
26,111,197,0
26,111,197,0
26,111,198,0
26,110,200,0
26,110,199,0
26,112,195,0
26,112,195,0
26,112,196,0
27,111,193,0
27,110,194,0
27,110,195,0
27,109,197,0
27,109,197,0
27,109,196,0
27,107,193,0
27,107,191,0
27,104,192,0
27,99,194,0
28,92,191,0
27,93,187,0
27,109,196,0
27,111,198,0
27,110,200,0
27,113,200,0
26,116,200,0
26,119,199,0
26,120,199,0
26,120,199,0
26,117,200,0
26,117,201,0
26,115,202,0
26,114,203,0
26,116,202,0
26,117,201,0
26,119,199,0
26,117,199,0
26,115,199,0
26,115,199,0
26,115,200,0
26,114,202,0
26,113,203,0
26,113,203,0
26,114,202,0
26,114,201,0
26,116,198,0
26,117,196,0
26,117,196,0
26,116,198,0
26,115,200,0
26,115,199,0
26,115,199,0
26,115,199,0
26,116,197,0
26,115,200,0
26,114,202,0
26,114,203,0
26,114,203,0
26,117,203,0
26,118,201,0
26,119,199,0
27,121,200,0
27,121,200,0
26,119,200,0
26,119,200,0
26,119,200,0
26,119,200,0
26,116,200,0
26,119,200,0
26,119,199,0
27,122,199,0
26,120,197,0
26,121,196,0
26,122,195,0
26,121,196,0
26,118,197,0
26,117,199,0
26,116,197,0
26,116,197,0
26,113,199,0
26,112,201,0
26,113,199,0
26,116,194,0
26,117,191,0
26,117,191,0
26,114,196,0
26,114,196,0
26,114,197,0
26,113,199,0
26,112,201,0
26,112,200,0
26,113,198,0
26,115,195,0
26,116,193,0
26,116,194,0
26,114,197,0
26,113,198,0
26,114,196,0
26,116,193,0
26,116,193,0
26,115,195,0
26,114,196,0
26,114,196,0
26,114,197,0
26,113,198,0
27,111,197,0
27,112,196,0
27,113,194,0
27,111,191,0
27,108,192,0
27,102,193,0
28,95,191,0
28,94,187,0
27,112,192,0
27,113,194,0
27,112,196,0
27,115,197,0
26,117,198,0
26,120,197,0
26,121,198,0
26,120,199,0
26,119,197,0
26,118,198,0
26,116,200,0
26,115,201,0
26,116,202,0
26,117,201,0
26,119,199,0
26,120,198,0
26,117,199,0
26,115,199,0
26,115,200,0
26,114,201,0
26,114,202,0
26,114,201,0
26,115,200,0
26,116,198,0
26,115,199,0
26,117,196,0
26,117,196,0
26,115,199,0
26,114,201,0
26,114,201,0
26,115,200,0
26,115,200,0
26,116,197,0
26,117,199,0
26,115,201,0
26,115,202,0
26,117,202,0
26,118,201,0
26,119,199,0
26,120,198,0
27,121,200,0
27,121,200,0
26,119,200,0
26,118,201,0
26,118,201,0
26,118,201,0
26,116,200,0
26,119,200,0
26,119,200,0
27,121,200,0
26,119,199,0
26,120,198,0
26,120,198,0
26,120,198,0
26,117,199,0
26,116,200,0
26,115,202,0
26,115,200,0
26,115,200,0
26,115,200,0
26,113,198,0
26,118,195,0
26,116,194,0
26,118,195,0
26,117,196,0
26,118,196,0
26,118,196,0
26,118,197,0
26,118,197,0
26,118,196,0
26,120,194,0
26,121,192,0
26,122,190,0
26,121,192,0
26,119,195,0
26,118,196,0
26,120,194,0
26,120,193,0
26,120,194,0
26,118,196,0
26,119,195,0
26,119,195,0
26,118,196,0
26,118,197,0
27,116,196,0
27,116,196,0
27,116,194,0
27,114,193,0
27,110,195,0
27,106,195,0
27,102,193,0
28,99,188,0
27,113,189,0
27,115,191,0
27,113,194,0
27,116,195,0
26,118,197,0
26,120,197,0
26,121,198,0
26,120,199,0
26,119,197,0
26,118,198,0
26,116,200,0
26,115,201,0
26,116,202,0
26,117,201,0
26,119,199,0
