h,s,v,value
165,3,200,0
173,5,186,0
0,8,181,0
177,14,188,0
0,16,190,0
2,20,189,0
2,20,187,0
5,23,185,0
8,20,190,0
8,20,190,0
13,21,190,0
13,21,191,0
13,22,189,0
13,22,187,0
8,20,191,0
11,22,195,0
9,25,197,0
11,27,200,0
11,27,199,0
11,27,199,0
11,27,201,0
11,27,199,0
11,27,197,0
11,27,198,0
11,27,198,0
11,27,196,0
11,28,193,0
11,28,192,0
11,27,196,0
11,27,199,0
11,27,197,0
11,28,192,0
5,22,196,0
5,22,196,0
5,22,196,0
5,22,198,0
5,22,199,0
5,22,199,0
5,22,197,0
5,22,195,0
5,23,192,0
5,22,199,0
5,21,204,0
5,21,204,0
5,22,201,0
5,22,198,0
5,22,197,0
5,22,196,0
2,20,192,0
2,20,192,0
5,23,191,0
5,23,189,0
5,22,193,0
5,22,200,0
5,21,205,0
5,21,206,0
5,21,202,0
5,22,197,0
9,25,193,0
9,25,195,0
9,24,202,0
9,23,209,0
9,23,210,0
11,21,205,0
11,21,202,0
13,21,196,0
13,21,191,0
13,22,189,0
13,21,191,0
13,21,194,0
11,22,196,0
11,22,197,0
11,22,200,0
11,22,197,0
11,22,194,0
11,22,193,0
11,22,195,0
11,22,196,0
11,22,193,0
11,23,190,0
5,22,194,0
5,22,196,0
5,22,201,0
5,21,205,0
5,21,204,0
5,22,200,0
5,22,198,0
5,22,199,0
8,19,197,0
8,20,196,0
5,17,194,0
5,17,192,0
0,16,191,0
0,16,190,0
177,14,186,0
177,14,182,0
170,12,187,0
6,6,202,0
6,7,188,0
177,12,186,0
3,15,191,0
0,18,193,0
0,21,191,0
5,24,192,0
9,25,192,0
9,25,194,0
11,23,192,0
11,23,192,0
14,25,193,0
11,23,190,0
11,23,188,0
9,25,190,0
9,25,193,0
11,28,194,0
11,27,198,0
11,27,199,0
11,27,198,0
11,27,198,0
11,28,194,0
11,28,191,0
11,28,193,0
11,27,196,0
11,27,197,0
11,27,196,0
11,28,194,0
11,27,196,0
11,27,198,0
11,27,199,0
11,27,198,0
9,24,200,0
9,25,196,0
5,22,194,0
9,25,195,0
5,22,199,0
9,24,200,0
5,22,195,0
9,25,190,0
5,22,195,0
9,24,198,0
5,22,198,0
5,22,195,0
5,23,192,0
5,23,192,0
5,22,193,0
5,22,193,0
5,23,192,0
5,22,194,0
5,22,194,0
5,22,193,0
5,22,194,0
9,24,199,0
5,21,204,0
9,24,206,0
5,22,198,0
9,25,194,0
9,25,190,0
9,25,191,0
9,25,197,0
11,27,202,0
9,24,202,0
11,27,200,0
11,22,201,0
14,25,197,0
11,22,193,0
14,25,191,0
11,22,193,0
14,25,195,0
11,22,195,0
11,27,197,0
9,25,197,0
11,27,196,0
9,25,195,0
11,27,197,0
9,24,199,0
11,27,199,0
9,25,195,0
9,25,192,0
9,25,191,0
9,25,193,0
9,25,196,0
9,24,199,0
9,25,197,0
9,25,194,0
9,25,194,0
9,25,197,0
9,24,198,0
11,22,195,0
8,20,194,0
8,20,194,0
5,17,196,0
5,17,195,0
0,16,189,0
177,14,182,0
177,14,185,0
11,10,202,0
8,14,194,0
5,16,192,0
8,20,196,0
5,23,196,0
5,29,195,0
5,28,199,0
9,30,202,0
9,30,205,0
10,28,202,0
10,28,201,0
12,28,200,0
11,27,199,0
11,27,197,0
10,28,197,0
10,28,197,0
12,29,199,0
12,29,204,0
12,29,204,0
12,29,202,0
12,29,200,0
12,30,196,0
12,31,192,0
12,30,194,0
12,29,199,0
12,29,201,0
12,29,201,0
12,29,200,0
12,29,199,0
12,29,202,0
12,29,205,0
10,27,207,0
10,27,207,0
10,28,202,0
8,26,198,0
10,29,196,0
8,26,197,0
10,28,198,0
8,26,197,0
10,29,195,0
8,25,201,0
10,28,201,0
8,26,198,0
8,26,194,0
8,27,191,0
8,27,192,0
8,26,194,0
8,26,194,0
8,26,195,0
8,26,198,0
8,25,200,0
8,26,199,0
8,26,197,0
10,28,199,0
8,25,203,0
10,27,206,0
8,25,205,0
10,28,201,0
10,28,197,0
10,29,196,0
10,28,199,0
12,29,201,0
10,28,201,0
12,29,201,0
11,27,202,0
12,28,199,0
11,27,195,0
12,29,194,0
11,27,196,0
12,28,197,0
11,27,197,0
12,30,197,0
10,29,194,0
12,30,193,0
10,29,194,0
12,30,197,0
10,28,199,0
12,29,199,0
10,28,197,0
10,29,195,0
10,29,195,0
10,29,195,0
12,30,196,0
12,30,197,0
12,30,195,0
12,30,194,0
12,30,195,0
12,30,198,0
10,28,199,0
11,27,196,0
9,25,194,0
9,25,195,0
5,22,200,0
5,21,202,0
2,20,196,0
5,18,187,0
3,15,188,0
11,17,205,0
11,18,195,0
8,20,195,0
9,24,200,0
5,28,201,0
7,32,200,0
6,32,205,0
8,32,208,0
8,32,205,0
11,34,202,0
11,34,201,0
11,34,202,0
11,34,203,0
11,34,203,0
11,35,204,0
11,34,202,0
11,33,208,0
13,31,209,0
10,31,209,0
13,31,204,0
10,31,205,0
13,32,200,0
10,32,199,0
13,32,199,0
10,32,202,0
13,32,201,0
10,31,203,0
13,32,200,0
10,32,202,0
13,31,203,0
10,31,209,0
12,28,210,0
10,31,209,0
12,28,206,0
9,30,204,0
12,30,196,0
9,32,193,0
12,31,192,0
9,31,200,0
12,29,204,0
9,30,205,0
12,29,202,0
9,30,202,0
10,28,197,0
9,31,198,0
10,28,197,0
9,31,199,0
10,29,196,0
9,31,199,0
10,28,201,0
9,30,206,0
10,28,203,0
9,30,201,0
12,30,198,0
10,31,203,0
12,29,205,0
10,31,209,0
12,29,203,0
10,32,201,0
12,30,197,0
10,32,199,0
13,33,196,0
11,35,198,0
11,35,199,0
11,34,204,0
11,34,201,0
11,35,199,0
11,35,198,0
11,35,199,0
11,34,200,0
11,34,200,0
11,34,200,0
11,36,199,0
11,36,197,0
11,36,197,0
11,36,198,0
11,36,200,0
11,36,201,0
11,36,201,0
11,35,202,0
11,34,201,0
11,34,200,0
13,37,198,0
14,35,196,0
13,37,199,0
14,35,198,0
13,37,200,0
14,35,199,0
11,34,202,0
13,32,197,0
12,30,194,0
12,29,193,0
10,28,200,0
11,27,202,0
8,25,201,0
9,25,195,0
5,17,194,0
11,21,206,0
14,25,195,0
10,28,197,0
10,31,204,0
8,33,206,0
9,36,204,0
8,38,208,0
10,40,211,0
10,40,208,0
11,39,205,0
11,39,203,0
12,38,203,0
12,37,206,0
12,37,209,0
11,37,212,0
11,37,212,0
12,36,210,0
13,36,208,0
11,35,203,0
13,37,200,0
11,35,204,0
13,36,203,0
11,36,201,0
13,37,201,0
11,35,202,0
13,37,200,0
11,36,200,0
13,37,199,0
11,35,202,0
13,36,203,0
11,35,206,0
11,33,207,0
11,35,206,0
11,34,205,0
8,33,204,0
11,35,197,0
8,34,193,0
11,36,193,0
8,33,201,0
11,33,206,0
8,33,203,0
11,34,201,0
8,33,201,0
10,32,198,0
8,33,200,0
10,32,201,0
8,33,202,0
10,32,200,0
8,33,199,0
10,32,201,0
8,32,206,0
10,31,206,0
8,33,204,0
11,34,202,0
11,35,205,0
11,33,208,0
11,34,208,0
11,34,204,0
11,35,202,0
11,34,200,0
11,36,200,0
13,38,197,0
12,38,199,0
12,38,201,0
12,37,205,0
12,38,202,0
12,38,200,0
12,38,199,0
12,38,200,0
12,38,201,0
12,38,202,0
12,38,202,0
11,39,202,0
11,40,200,0
11,40,200,0
11,39,202,0
11,39,202,0
11,39,201,0
11,39,201,0
11,39,203,0
13,40,203,0
13,41,200,0
15,43,197,0
15,41,197,0
15,42,202,0
15,40,204,0
15,41,205,0
15,40,202,0
13,41,200,0
15,40,198,0
13,37,198,0
14,35,196,0
11,34,200,0
13,32,201,0
11,34,203,0
12,29,199,0
11,22,195,0
14,24,206,0
12,28,197,0
10,32,197,0
11,35,204,0
8,38,208,0
10,41,206,0
9,41,210,0
10,43,212,0
10,43,213,0
11,42,211,0
11,43,209,0
13,41,206,0
13,40,209,0
13,39,214,0
11,41,219,0
11,41,219,0
11,38,208,0
12,37,205,0
12,39,198,0
12,39,197,0
12,38,202,0
12,38,203,0
12,38,200,0
12,38,200,0
12,38,202,0
12,38,199,0
12,39,198,0
12,38,200,0
12,38,202,0
12,38,203,0
12,38,204,0
12,38,204,0
11,35,205,0
11,35,204,0
11,35,202,0
11,36,201,0
11,36,201,0
11,35,202,0
11,35,203,0
12,38,204,0
11,35,203,0
12,38,202,0
11,36,199,0
12,39,197,0
11,36,198,0
12,38,201,0
11,35,204,0
12,38,204,0
12,39,197,0
12,38,199,0
12,38,202,0
12,37,205,0
12,37,206,0
12,37,206,0
12,37,208,0
13,39,210,0
12,37,206,0
13,40,202,0
13,41,200,0
13,41,201,0
13,41,201,0
13,41,199,0
13,41,200,0
15,41,203,0
13,41,206,0
13,43,204,0
13,42,202,0
13,43,201,0
13,42,201,0
13,43,202,0
13,41,203,0
13,43,204,0
11,44,204,0
12,45,204,0
11,44,205,0
12,44,208,0
11,43,207,0
12,45,203,0
11,44,202,0
12,45,204,0
13,43,204,0
15,45,200,0
15,45,198,0
15,45,199,0
15,44,204,0
16,45,209,0
15,43,207,0
15,44,204,0
15,46,196,0
15,42,199,0
15,42,202,0
15,39,201,0
13,40,202,0
13,37,202,0
12,38,202,0
11,35,199,0
11,27,196,0
12,27,209,0
12,28,197,0
10,33,196,0
11,35,202,0
8,39,205,0
9,42,206,0
7,44,211,0
10,43,213,0
10,44,211,0
12,44,210,0
12,44,207,0
12,45,204,0
12,45,205,0
12,44,208,0
11,45,211,0
12,44,209,0
13,41,206,0
13,41,206,0
13,42,202,0
13,42,201,0
13,41,206,0
13,41,205,0
13,42,201,0
13,42,200,0
13,41,203,0
13,42,201,0
13,42,200,0
13,41,203,0
13,41,205,0
13,41,205,0
13,41,204,0
13,41,205,0
11,38,208,0
11,38,207,0
11,39,205,0
11,39,205,0
11,38,206,0
11,38,206,0
11,38,206,0
13,41,206,0
11,38,207,0
13,41,207,0
11,39,204,0
13,42,200,0
11,40,199,0
13,42,202,0
11,39,205,0
13,41,206,0
13,42,199,0
13,42,198,0
13,42,200,0
13,41,204,0
13,41,207,0
13,40,208,0
13,40,209,0
13,41,210,0
13,41,203,0
13,44,199,0
13,44,196,0
13,44,198,0
13,44,198,0
13,44,196,0
13,44,197,0
14,46,200,0
12,44,209,0
13,47,208,0
12,45,206,0
13,47,205,0
12,45,204,0
13,48,204,0
12,45,205,0
13,47,205,0
11,46,206,0
12,49,205,0
11,46,207,0
12,47,210,0
11,45,209,0
12,49,205,0
11,46,204,0
13,47,206,0
13,47,208,0
16,47,205,0
16,48,203,0
16,48,202,0
16,48,204,0
17,49,207,0
16,47,207,0
16,48,204,0
16,49,198,0
14,46,201,0
14,45,204,0
15,41,203,0
13,43,203,0
13,40,202,0
13,42,201,0
12,39,198,0
12,30,198,0
12,27,209,0
12,28,198,0
10,32,197,0
11,36,201,0
8,39,203,0
9,43,204,0
9,41,209,0
10,43,214,0
10,43,214,0
12,43,213,0
12,44,210,0
12,45,205,0
12,45,203,0
12,45,204,0
11,46,205,0
12,45,203,0
11,43,207,0
13,41,207,0
13,41,206,0
13,41,206,0
13,40,209,0
13,41,206,0
13,42,200,0
13,42,199,0
13,42,201,0
13,42,200,0
13,42,201,0
13,41,204,0
13,41,205,0
13,41,204,0
13,41,203,0
13,41,204,0
11,38,207,0
11,38,208,0
11,38,208,0
11,39,205,0
11,39,202,0
13,42,201,0
13,41,206,0
13,40,210,0
13,40,208,0
13,40,209,0
13,41,207,0
13,41,203,0
13,42,201,0
13,43,202,0
13,41,203,0
13,43,203,0
13,43,202,0
13,44,199,0
13,44,198,0
13,43,203,0
13,42,207,0
13,42,207,0
13,42,207,0
13,42,207,0
13,42,208,0
14,45,203,0
14,46,200,0
14,45,202,0
14,45,202,0
14,46,199,0
14,46,199,0
14,46,201,0
14,44,207,0
13,46,209,0
13,47,208,0
13,47,207,0
13,47,206,0
13,47,205,0
13,48,203,0
13,48,203,0
13,47,206,0
12,49,205,0
12,48,206,0
12,48,209,0
12,48,207,0
12,49,204,0
12,48,206,0
12,47,210,0
14,48,211,0
14,48,211,0
16,47,206,0
16,48,202,0
17,51,201,0
17,50,202,0
17,50,202,0
17,51,200,0
16,48,201,0
16,48,203,0
14,45,204,0
14,45,203,0
13,43,202,0
13,43,202,0
13,42,201,0
12,38,199,0
10,32,201,0
14,23,207,0
14,25,194,0
10,29,195,0
10,32,202,0
9,36,203,0
10,41,207,0
10,40,210,0
11,43,208,0
11,42,211,0
11,42,211,0
11,43,209,0
13,41,203,0
13,42,202,0
13,41,204,0
11,43,208,0
11,43,207,0
12,43,215,0
12,43,213,0
12,44,211,0
12,44,209,0
12,44,209,0
12,44,208,0
12,44,207,0
12,45,205,0
12,45,206,0
12,45,203,0
12,45,204,0
12,44,208,0
12,44,207,0
12,45,202,0
12,45,202,0
12,45,206,0
11,43,209,0
11,43,206,0
11,44,204,0
11,44,205,0
11,43,206,0
11,44,205,0
11,44,204,0
12,45,205,0
12,45,206,0
12,44,210,0
12,43,212,0
12,44,209,0
12,45,206,0
13,47,205,0
12,45,206,0
13,47,206,0
13,48,204,0
13,48,204,0
13,48,204,0
13,47,206,0
13,46,209,0
13,46,210,0
13,47,208,0
13,47,206,0
13,47,208,0
14,49,209,0
14,49,207,0
14,50,204,0
14,50,203,0
14,50,203,0
14,50,203,0
16,48,200,0
16,47,205,0
16,47,205,0
16,47,205,0
16,47,206,0
16,47,208,0
16,47,208,0
16,47,205,0
16,48,203,0
16,48,204,0
14,49,208,0
14,49,209,0
14,49,208,0
14,50,206,0
14,50,206,0
14,49,207,0
14,49,208,0
13,47,208,0
13,46,210,0
14,49,209,0
14,50,205,0
14,50,202,0
14,50,203,0
14,50,204,0
14,50,205,0
13,48,203,0
13,48,202,0
12,45,204,0
12,44,207,0
11,43,208,0
11,42,211,0
11,43,209,0
11,40,200,0
11,35,198,0
15,22,206,0
15,24,193,0
11,28,194,0
10,28,201,0
8,33,204,0
9,36,207,0
8,37,213,0
10,40,211,0
10,40,208,0
13,41,206,0
13,41,205,0
13,41,203,0
13,41,203,0
13,41,207,0
11,42,213,0
11,42,214,0
11,43,210,0
12,44,211,0
12,44,210,0
12,44,209,0
12,44,209,0
12,44,211,0
12,44,209,0
12,45,206,0
12,45,205,0
12,45,204,0
12,44,207,0
12,44,209,0
12,44,207,0
12,45,204,0
12,45,204,0
12,44,208,0
11,43,207,0
11,44,204,0
11,44,204,0
11,43,206,0
11,43,207,0
11,43,206,0
12,45,206,0
12,44,207,0
12,44,207,0
12,44,210,0
12,43,212,0
12,44,209,0
13,47,205,0
13,47,205,0
13,47,206,0
13,47,206,0
13,47,206,0
13,47,206,0
13,47,206,0
13,47,207,0
13,46,209,0
13,46,210,0
13,47,208,0
13,47,206,0
14,50,204,0
14,50,205,0
14,50,205,0
14,50,203,0
14,50,202,0
14,50,202,0
14,50,202,0
16,49,199,0
16,47,201,0
16,47,201,0
16,47,202,0
16,47,205,0
16,47,206,0
16,47,206,0
16,48,204,0
16,48,202,0
16,48,202,0
16,48,204,0
16,48,204,0
14,50,206,0
14,50,205,0
14,50,206,0
14,49,208,0
14,49,209,0
13,46,209,0
13,46,210,0
13,46,210,0
14,49,207,0
14,50,205,0
14,50,206,0
14,49,208,0
14,49,209,0
13,48,203,0
13,49,198,0
12,47,197,0
12,46,199,0
11,44,203,0
11,43,209,0
11,43,210,0
11,39,203,0
10,32,199,0
16,19,204,0
13,21,192,0
9,25,194,0
10,28,202,0
8,32,205,0
11,34,207,0
9,35,212,0
11,38,209,0
11,39,204,0
11,38,207,0
11,38,207,0
12,38,204,0
11,39,203,0
11,39,204,0
10,40,208,0
11,43,209,0
11,42,211,0
11,42,214,0
11,42,214,0
11,42,211,0
11,42,211,0
11,42,213,0
11,42,212,0
11,43,207,0
11,44,203,0
11,43,206,0
11,43,210,0
11,43,210,0
11,43,207,0
11,44,205,0
11,43,206,0
11,43,209,0
11,44,205,0
11,44,204,0
11,44,204,0
11,43,206,0
11,43,207,0
11,43,207,0
12,44,207,0
12,44,208,0
12,44,208,0
12,44,210,0
13,46,211,0
13,47,208,0
13,47,206,0
13,47,206,0
13,47,207,0
13,47,206,0
12,44,207,0
12,45,205,0
12,45,205,0
12,45,206,0
13,47,208,0
13,47,207,0
13,48,204,0
13,48,202,0
13,48,200,0
13,48,202,0
13,48,202,0
13,48,201,0
14,51,200,0
14,51,201,0
14,50,202,0
16,49,199,0
16,48,197,0
17,46,198,0
17,46,200,0
16,46,203,0
16,46,203,0
16,47,202,0
16,47,202,0
16,47,202,0
16,47,199,0
16,47,200,0
16,47,201,0
16,48,202,0
16,48,202,0
16,48,203,0
16,47,206,0
16,46,209,0
14,44,207,0
14,44,208,0
14,44,207,0
14,45,203,0
13,48,204,0
13,47,206,0
13,46,209,0
13,46,210,0
12,45,202,0
12,47,195,0
11,46,192,0
11,46,194,0
10,42,199,0
10,41,207,0
9,41,210,0
10,41,203,0
8,33,198,0
16,19,204,0
13,21,192,0
11,23,192,0
10,28,201,0
10,31,204,0
8,32,207,0
9,35,211,0
9,36,208,0
11,39,205,0
11,38,208,0
12,36,210,0
12,37,208,0
11,39,205,0
11,39,201,0
10,42,202,0
10,42,202,0
11,42,213,0
11,41,217,0
11,41,216,0
11,42,211,0
11,43,210,0
11,42,212,0
11,43,210,0
11,44,205,0
11,44,202,0
11,43,208,0
11,42,212,0
11,43,210,0
11,43,207,0
11,43,206,0
11,43,207,0
11,43,208,0
11,44,205,0
11,44,204,0
11,44,205,0
11,43,206,0
11,43,206,0
11,43,207,0
11,43,207,0
12,44,207,0
12,44,210,0
12,44,210,0
13,46,209,0
13,47,208,0
13,46,209,0
13,46,211,0
13,46,209,0
13,47,205,0
12,45,205,0
12,45,204,0
12,45,205,0
12,44,207,0
12,44,208,0
13,47,205,0
13,48,200,0
13,49,197,0
13,49,199,0
13,48,202,0
13,48,203,0
13,48,201,0
13,48,200,0
14,51,201,0
13,48,202,0
16,48,200,0
15,45,197,0
17,46,199,0
17,43,202,0
17,45,202,0
15,44,202,0
16,47,201,0
15,44,202,0
16,46,203,0
15,45,200,0
16,47,199,0
15,45,199,0
16,47,200,0
14,45,202,0
16,48,203,0
