h,s,v,value
109,9,232,0
109,9,227,0
109,9,221,0
109,9,219,0
109,9,220,0
109,9,221,0
103,8,218,0
103,8,216,0
103,8,216,0
103,8,217,0
103,8,218,0
103,8,218,0
103,8,218,0
103,8,218,0
96,6,217,0
96,6,217,0
110,4,217,0
110,4,216,0
110,4,216,0
110,4,216,0
110,4,217,0
110,4,218,0
110,4,217,0
110,4,216,0
110,4,217,0
110,4,216,0
110,4,215,0
110,4,214,0
110,4,213,0
110,4,212,0
110,4,210,0
110,4,210,0
110,4,209,0
110,4,211,0
110,4,214,0
110,4,215,0
110,4,216,0
110,4,216,0
110,4,217,0
110,4,218,0
110,3,219,0
110,3,219,0
110,3,220,0
110,3,220,0
110,3,219,0
110,3,219,0
110,3,219,0
110,3,219,0
110,3,219,0
110,3,219,0
110,3,220,0
110,3,219,0
110,4,217,0
110,4,216,0
96,6,215,0
96,6,215,0
96,6,217,0
96,6,218,0
96,6,220,0
96,6,221,0
90,7,221,0
90,7,220,0
90,7,219,0
90,7,218,0
90,7,220,0
90,7,219,0
90,7,217,0
90,7,217,0
90,7,217,0
90,7,218,0
90,7,218,0
90,7,218,0
90,7,215,0
90,7,216,0
90,7,217,0
90,7,218,0
90,7,219,0
90,7,220,0
90,7,222,0
90,7,223,0
96,6,219,0
96,6,218,0
96,6,218,0
96,6,217,0
96,6,215,0
96,6,215,0
96,6,215,0
96,6,215,0
103,8,219,0
103,8,219,0
103,8,218,0
109,9,225,0
109,9,222,0
109,9,219,0
109,9,218,0
109,9,220,0
109,9,221,0
103,8,221,0
103,8,220,0
103,8,221,0
103,8,221,0
103,8,222,0
103,8,221,0
103,8,220,0
103,8,219,0
96,6,217,0
96,6,217,0
110,3,219,0
110,4,218,0
110,4,217,0
110,4,217,0
110,4,218,0
110,4,218,0
110,4,217,0
110,4,216,0
110,3,219,0
110,3,220,0
110,3,220,0
110,3,220,0
110,3,220,0
110,4,218,0
110,4,217,0
110,4,216,0
110,4,211,0
110,4,212,0
110,4,214,0
110,4,216,0
110,4,217,0
110,4,218,0
110,4,218,0
110,4,218,0
110,3,219,0
110,3,220,0
110,3,220,0
110,3,219,0
110,3,219,0
110,4,218,0
110,4,218,0
110,4,218,0
110,4,217,0
110,4,217,0
110,4,217,0
110,4,216,0
110,4,214,0
110,4,213,0
96,6,213,0
96,6,214,0
96,6,214,0
96,6,214,0
96,6,215,0
96,6,215,0
90,7,215,0
90,7,215,0
90,7,215,0
90,7,214,0
90,7,216,0
90,7,216,0
90,7,215,0
90,7,215,0
90,7,215,0
90,7,215,0
90,7,214,0
90,7,214,0
90,7,213,0
90,7,214,0
90,7,215,0
90,7,216,0
90,7,217,0
90,7,218,0
90,7,219,0
90,7,220,0
96,6,217,0
96,6,216,0
96,6,216,0
96,6,217,0
96,6,219,0
96,6,219,0
96,6,217,0
96,6,216,0
103,8,221,0
103,8,220,0
103,8,219,0
109,9,217,0
109,9,216,0
109,9,216,0
109,9,216,0
103,8,217,0
103,8,219,0
103,8,220,0
103,8,220,0
103,8,223,0
103,8,224,0
103,8,224,0
103,8,223,0
103,8,221,0
103,8,220,0
96,6,217,0
96,6,217,0
110,4,218,0
110,4,218,0
110,4,217,0
110,4,217,0
110,4,218,0
110,4,218,0
110,4,217,0
110,4,216,0
110,3,220,0
110,3,221,0
110,3,222,0
110,3,223,0
110,3,223,0
110,3,221,0
110,3,220,0
110,3,219,0
110,4,213,0
110,4,213,0
110,4,213,0
110,4,215,0
110,4,218,0
110,3,219,0
110,4,218,0
110,4,217,0
110,4,218,0
110,4,218,0
110,4,218,0
110,4,217,0
110,4,216,0
110,4,216,0
110,4,216,0
110,4,216,0
110,4,217,0
110,4,216,0
110,4,216,0
110,4,214,0
110,4,213,0
110,4,214,0
96,6,215,0
96,6,216,0
96,6,215,0
96,6,215,0
96,6,214,0
96,6,214,0
90,7,214,0
90,7,215,0
90,7,215,0
90,7,215,0
90,7,216,0
90,7,215,0
90,7,215,0
90,7,216,0
90,7,216,0
90,7,216,0
90,7,215,0
90,7,214,0
90,7,213,0
90,7,213,0
90,7,214,0
90,7,215,0
90,7,216,0
90,7,217,0
90,7,217,0
90,7,218,0
96,6,215,0
96,6,214,0
96,6,215,0
96,6,218,0
96,6,221,0
96,6,222,0
96,6,220,0
96,6,217,0
103,8,221,0
103,8,220,0
103,8,219,0
109,9,215,0
109,9,216,0
109,9,216,0
109,9,217,0
103,8,216,0
103,8,217,0
103,8,218,0
103,8,219,0
103,8,214,0
103,8,215,0
103,8,215,0
103,8,215,0
103,8,214,0
103,8,213,0
96,6,210,0
96,6,211,0
110,4,210,0
110,4,210,0
110,4,210,0
110,4,210,0
110,4,210,0
110,4,210,0
110,4,210,0
110,4,210,0
110,4,211,0
110,4,212,0
110,4,212,0
110,4,212,0
110,4,212,0
110,4,211,0
110,4,210,0
110,4,209,0
110,4,207,0
110,4,206,0
110,4,206,0
110,4,208,0
110,4,211,0
110,4,213,0
110,4,212,0
110,4,211,0
110,4,215,0
110,4,216,0
110,4,216,0
110,4,215,0
110,4,214,0
110,4,213,0
110,4,214,0
110,4,214,0
110,4,216,0
110,4,215,0
110,4,214,0
110,4,213,0
110,4,213,0
110,4,214,0
96,6,216,0
96,6,217,0
96,6,218,0
96,6,217,0
96,6,217,0
96,6,217,0
90,7,217,0
90,7,217,0
90,7,218,0
90,7,218,0
90,7,217,0
90,7,216,0
90,7,216,0
90,7,217,0
90,7,217,0
90,7,217,0
90,7,217,0
90,7,216,0
90,7,216,0
90,7,216,0
90,7,216,0
90,7,216,0
90,7,217,0
90,7,217,0
