h,s,v,value
7,169,184,5
7,167,186,5
7,166,187,5
7,166,187,5
7,170,188,5
7,168,190,5
7,168,190,5
7,168,190,5
8,170,191,5
8,170,191,5
8,171,191,5
8,171,191,5
8,170,191,5
8,170,191,5
8,168,193,5
8,167,194,5
8,164,196,5
8,164,196,5
8,163,194,5
8,163,194,5
8,159,194,5
8,158,195,5
8,155,196,5
7,169,184,5
7,166,184,5
7,166,187,5
7,166,187,5
8,169,187,5
8,167,189,5
7,168,190,5
8,167,189,5
8,169,192,5
8,168,191,5
8,170,192,5
8,170,191,5
8,170,191,5
8,169,189,5
8,169,192,5
8,168,193,5
8,166,194,5
8,166,194,5
8,165,192,5
8,165,192,5
8,161,192,5
8,159,194,5
8,156,195,5
7,168,182,5
8,166,183,5
7,165,186,5
7,165,185,5
8,167,186,5
8,166,187,5
8,166,190,5
8,166,187,5
8,166,193,5
8,166,191,5
8,168,193,5
8,167,191,5
8,167,191,5
9,166,190,5
8,166,192,5
8,165,193,5
8,165,195,5
8,165,195,5
8,164,193,5
8,164,193,5
8,160,193,5
8,158,195,5
8,157,196,5
8,167,182,5
8,165,184,5
8,164,185,5
8,164,185,5
8,167,185,5
8,166,187,5
8,165,188,5
8,165,188,5
8,167,189,5
8,166,190,5
8,168,190,5
9,166,190,5
9,166,190,5
9,166,191,5
9,165,192,5
9,164,193,5
8,164,193,5
8,164,196,5
8,163,194,5
8,162,195,5
8,158,195,5
8,157,196,5
8,157,197,5
8,169,180,5
8,167,182,5
8,166,183,5
8,166,183,5
8,166,183,5
8,166,186,5
8,168,187,5
8,168,187,5
8,169,186,5
8,169,186,5
9,169,187,5
9,168,185,5
9,167,186,5
9,167,186,5
9,165,188,5
9,165,189,5
8,166,192,5
8,166,192,5
8,164,193,5
8,164,193,5
8,163,193,5
8,162,194,5
8,158,195,5
9,168,179,5
9,166,181,5
8,166,183,5
8,166,183,5
8,166,183,5
8,164,185,5
8,168,187,5
8,168,187,5
8,168,187,5
8,168,187,5
9,167,186,5
9,167,186,5
9,168,185,5
9,168,185,5
9,167,185,5
9,167,186,5
9,166,191,5
8,166,192,5
8,165,192,5
8,164,193,5
8,163,193,5
8,162,194,5
8,159,194,5
8,169,180,5
8,167,182,5
8,165,184,5
8,166,183,5
8,165,184,5
8,164,185,5
8,167,188,5
8,168,187,5
8,166,189,5
8,166,189,5
9,166,187,5
9,166,187,5
9,166,187,5
9,167,186,5
9,167,186,5
9,166,187,5
9,166,191,5
8,165,193,5
8,165,193,5
8,164,194,5
8,163,193,5
8,162,194,5
8,162,194,5
8,169,180,5
8,167,182,5
8,165,184,5
8,166,183,5
8,165,184,5
8,165,187,5
8,167,188,5
8,168,187,5
8,168,187,5
8,167,188,5
9,167,189,5
9,166,187,5
9,166,187,5
9,166,187,5
9,166,187,5
9,166,190,5
8,166,192,5
8,166,192,5
8,165,193,5
8,165,193,5
8,163,193,5
8,163,193,5
8,163,193,5
8,169,183,5
8,168,184,5
8,170,185,5
8,170,185,5
8,170,185,5
8,169,187,5
8,168,188,5
8,167,189,5
8,168,190,5
8,168,190,5
8,167,191,5
9,166,190,5
9,166,190,5
9,166,191,5
9,166,191,5
9,166,191,5
8,167,191,5
8,166,192,5
9,165,192,5
9,164,193,5
8,163,193,5
8,164,191,5
8,163,192,5
8,169,183,5
8,168,184,5
8,170,185,5
8,170,185,5
8,170,186,5
8,170,186,5
8,169,187,5
8,168,188,5
8,168,190,5
8,170,188,5
8,171,186,5
8,170,187,5
8,167,191,5
9,166,191,5
9,167,189,5
9,169,187,5
8,165,193,5
8,165,193,5
9,164,193,5
9,163,194,5
8,162,194,5
8,163,193,5
8,163,193,5
8,172,184,5
8,171,185,5
8,170,186,5
8,170,186,5
8,171,188,5
8,171,188,5
8,170,189,5
8,170,189,5
8,169,192,5
8,170,190,5
8,171,189,5
8,170,188,5
8,168,190,5
8,166,192,5
8,167,191,5
8,169,189,5
8,165,193,5
8,166,192,5
8,163,192,5
8,162,194,5
8,161,195,5
8,162,194,5
8,159,194,5
8,172,184,5
8,172,184,5
8,171,185,5
8,170,186,5
8,171,188,5
8,171,188,5
