h,s,v,value
23,115,171,0
23,114,172,0
23,115,173,0
23,114,175,0
23,117,175,0
23,117,175,0
23,119,176,0
23,117,178,0
24,121,177,0
24,122,175,0
24,123,174,0
24,122,176,0
24,120,178,0
24,120,178,0
24,122,176,0
25,122,172,0
25,118,175,0
26,115,175,0
26,116,178,0
26,115,179,0
26,117,178,0
26,117,178,0
27,120,179,0
23,117,168,0
23,117,168,0
23,118,169,0
23,117,170,0
23,119,171,0
23,119,172,0
23,122,172,0
23,122,172,0
24,123,174,0
24,123,174,0
24,123,174,0
24,123,174,0
24,122,175,0
24,122,176,0
24,121,177,0
25,119,175,0
25,119,173,0
26,119,174,0
26,117,177,0
26,115,179,0
26,117,178,0
26,118,177,0
27,121,177,0
23,118,166,0
23,118,166,0
23,119,167,0
23,118,168,0
23,120,170,0
23,119,171,0
23,122,171,0
23,122,171,0
24,124,173,0
24,122,175,0
24,125,175,0
24,125,175,0
24,126,174,0
24,125,176,0
25,121,177,0
25,119,180,0
25,125,170,0
25,122,174,0
25,120,177,0
26,120,179,0
26,120,178,0
26,121,177,0
26,125,176,0
23,120,163,0
23,120,166,0
23,118,168,0
23,121,169,0
23,120,170,0
23,122,171,0
23,121,173,0
24,123,174,0
24,123,174,0
24,125,176,0
24,124,177,0
24,125,175,0
24,125,175,0
24,124,177,0
25,120,179,0
25,118,181,0
25,121,175,0
25,120,177,0
26,118,181,0
26,118,182,0
26,118,182,0
26,121,181,0
26,121,181,0
22,125,161,0
22,121,166,0
23,118,169,0
23,121,169,0
23,121,169,0
23,122,171,0
23,120,174,0
24,122,176,0
24,123,174,0
24,125,176,0
24,125,176,0
24,127,175,0
25,125,173,0
25,123,176,0
25,121,177,0
25,121,177,0
26,122,175,0
26,121,177,0
26,120,179,0
26,119,180,0
26,122,180,0
26,121,181,0
26,120,182,0
22,124,162,0
23,124,167,0
23,120,170,0
23,124,169,0
23,124,169,0
24,125,172,0
24,122,175,0
24,125,176,0
24,124,177,0
24,123,178,0
24,125,177,0
24,126,176,0
25,124,175,0
25,122,178,0
25,121,177,0
25,122,175,0
26,122,175,0
26,122,176,0
26,122,176,0
26,124,177,0
26,124,177,0
26,123,178,0
26,125,180,0
23,124,167,0
23,122,170,0
23,121,171,0
23,125,170,0
23,123,170,0
24,124,173,0
24,123,174,0
24,128,172,0
24,123,179,0
24,123,180,0
25,122,177,0
25,124,175,0
25,123,176,0
25,122,178,0
25,122,178,0
25,124,175,0
26,118,181,0
26,118,181,0
26,121,181,0
26,121,181,0
26,121,181,0
26,123,182,0
26,123,183,0
23,122,169,0
23,121,171,0
23,125,170,0
23,126,168,0
24,127,169,0
24,125,172,0
24,128,171,0
24,131,167,0
24,125,178,0
24,123,180,0
25,122,177,0
25,125,174,0
25,125,174,0
25,123,176,0
25,122,177,0
25,124,175,0
26,119,180,0
26,119,180,0
26,122,180,0
26,122,180,0
26,125,180,0
26,125,180,0
26,124,181,0
23,126,168,0
23,125,169,0
23,125,170,0
23,124,171,0
23,127,171,0
23,127,171,0
24,130,169,0
24,131,168,0
24,128,174,0
24,127,175,0
25,128,174,0
25,128,173,0
25,128,174,0
25,127,175,0
25,127,175,0
25,128,174,0
26,121,177,0
26,120,178,0
26,122,180,0
26,122,180,0
26,125,179,0
26,125,179,0
26,128,179,0
23,129,164,0
23,127,167,0
23,125,170,0
23,125,170,0
23,128,170,0
23,127,171,0
24,128,172,0
24,128,172,0
24,128,173,0
24,128,174,0
25,128,174,0
25,126,176,0
25,125,177,0
25,125,177,0
25,126,176,0
25,126,176,0
26,121,177,0
26,120,179,0
26,121,181,0
26,121,181,0
26,124,181,0
26,124,181,0
26,127,181,0
23,128,165,0
23,126,168,0
23,124,171,0
23,125,170,0
23,129,168,0
23,128,170,0
24,127,173,0
24,125,175,0
24,128,173,0
24,128,173,0
25,128,174,0
25,125,178,0
25,124,179,0
25,125,177,0
26,125,175,0
26,125,176,0
26,121,177,0
26,120,179,0
26,121,181,0
26,120,182,0
26,123,182,0
26,123,182,0
26,123,182,0
23,126,168,0
23,124,171,0
23,123,172,0
23,125,169,0
23,129,168,0
23,128,170,0
24,128,172,0
24,127,173,0
24,126,176,0
24,128,174,0
25,128,174,0
25,124,179,0
25,123,180,0
25,126,176,0
26,126,174,0
26,125,176,0
26,120,178,0
26,120,179,0
26,121,181,0
26,120,182,0
26,121,181,0
26,124,181,0
26,124,181,0
22,123,170,0
22,122,172,0
23,124,171,0
23,126,168,0
23,128,169,0
23,126,172,0
24,127,173,0
24,128,172,0
24,125,177,0
24,127,175,0
25,125,174,0
25,122,178,0
26,121,177,0
26,123,174,0
26,123,174,0
26,121,177,0
26,121,177,0
26,120,178,0
26,118,181,0
26,121,181,0
26,121,181,0
26,121,181,0
26,123,182,0
22,125,167,0
22,123,170,0
23,125,170,0
23,126,168,0
23,128,170,0
23,124,175,0
24,125,176,0
24,126,174,0
24,127,175,0
24,128,174,0
25,125,173,0
25,123,176,0
26,122,176,0
26,122,175,0
26,122,175,0
26,121,177,0
26,122,176,0
26,120,178,0
26,118,181,0
26,118,182,0
26,120,182,0
26,120,182,0
26,122,184,0
22,127,165,0
22,123,170,0
23,124,171,0
23,125,170,0
23,127,171,0
23,124,175,0
24,125,176,0
24,126,174,0
24,128,174,0
24,128,174,0
25,125,174,0
25,124,175,0
26,122,175,0
26,122,175,0
26,123,174,0
26,123,174,0
25,121,179,0
25,120,180,0
25,119,182,0
25,118,183,0
25,121,183,0
25,121,183,0
25,123,184,0
22,126,166,0
22,122,172,0
23,118,175,0
23,123,172,0
23,124,171,0
23,125,173,0
24,126,174,0
24,128,172,0
24,128,174,0
24,126,176,0
25,124,175,0
25,123,176,0
26,122,175,0
26,122,175,0
26,124,173,0
26,125,171,0
25,120,181,0
25,119,182,0
25,118,183,0
25,118,183,0
25,122,182,0
25,123,181,0
25,125,181,0
22,122,165,0
23,122,170,0
23,119,173,0
23,124,171,0
23,123,172,0
23,124,175,0
23,127,175,0
23,130,171,0
24,129,172,0
24,126,176,0
25,122,177,0
25,122,178,0
26,123,174,0
26,125,172,0
26,123,170,0
26,122,172,0
26,120,178,0
26,120,179,0
26,120,179,0
26,120,179,0
26,123,178,0
26,123,179,0
26,121,181,0
22,121,166,0
22,119,170,0
23,122,170,0
23,123,168,0
23,125,169,0
23,125,174,0
23,123,176,0
23,128,174,0
24,128,173,0
24,125,177,0
24,123,181,0
25,121,179,0
25,123,176,0
26,124,173,0
26,122,175,0
26,119,175,0
26,120,178,0
26,120,179,0
26,119,180,0
26,118,181,0
26,122,180,0
26,122,180,0
26,121,181,0
22,121,166,0
22,119,169,0
23,122,170,0
23,123,168,0
23,125,169,0
23,125,174,0
23,122,177,0
23,126,176,0
24,128,176,0
24,125,178,0
24,123,180,0
25,122,178,0
25,124,175,0
26,123,174,0
26,122,176,0
26,120,179,0
26,121,177,0
26,120,179,0
26,118,181,0
26,118,181,0
26,121,181,0
26,122,180,0
26,122,180,0
22,122,165,0
22,119,170,0
23,120,172,0
23,120,172,0
23,122,173,0
23,120,176,0
23,122,177,0
23,126,176,0
24,127,177,0
24,126,178,0
24,125,177,0
24,125,177,0
25,125,174,0
25,124,175,0
26,122,175,0
26,122,176,0
26,120,178,0
26,120,179,0
26,118,181,0
26,118,181,0
26,121,181,0
26,121,181,0
26,121,181,0
22,121,168,0
22,119,172,0
22,119,176,0
22,119,175,0
23,122,175,0
23,121,177,0
23,124,177,0
23,128,176,0
24,125,179,0
24,127,177,0
24,127,175,0
24,127,175,0
25,124,175,0
25,123,176,0
25,124,175,0
25,125,174,0
26,122,180,0
26,121,181,0
26,121,181,0
26,121,181,0
26,121,181,0
26,121,181,0
26,120,182,0
22,119,172,0
22,117,174,0
22,119,175,0
22,120,174,0
23,124,173,0
23,123,174,0
23,124,177,0
23,127,177,0
23,123,180,0
24,126,178,0
24,128,176,0
24,126,176,0
24,124,179,0
25,122,178,0
25,123,176,0
25,125,174,0
25,123,181,0
26,123,179,0
26,123,179,0
26,123,178,0
26,123,179,0
26,122,180,0
26,121,181,0
22,117,174,0
22,116,176,0
22,119,175,0
22,121,173,0
23,125,171,0
23,124,173,0
23,124,177,0
23,125,179,0
23,125,180,0
24,126,178,0
24,125,179,0
24,123,180,0
24,125,181,0
24,125,182,0
24,126,180,0
25,125,177,0
25,124,179,0
25,125,178,0
25,125,178,0
25,125,178,0
25,125,178,0
25,123,180,0
25,125,181,0
28,112,191,0
28,113,190,0
28,113,189,0
28,113,190,0
28,113,190,0
28,113,189,0
29,110,185,0
29,111,183,0
29,110,185,0
29,110,185,0
29,109,185,0
29,109,185,0
29,109,184,0
29,110,183,0
29,110,183,0
29,109,185,0
29,112,187,0
29,112,186,0
29,110,185,0
29,110,185,0
28,107,186,0
28,106,188,0
28,105,190,0
28,104,191,0
29,107,190,0
29,108,189,0
29,111,189,0
29,109,191,0
28,104,191,0
28,105,190,0
28,103,191,0
28,102,192,0
28,101,190,0
28,115,187,0
28,115,186,0
28,115,186,0
28,114,188,0
28,113,189,0
28,113,189,0
29,110,185,0
29,111,183,0
29,110,186,0
29,110,185,0
29,109,184,0
29,109,185,0
29,109,184,0
29,110,183,0
29,110,183,0
29,109,184,0
29,113,185,0
29,113,185,0
29,110,185,0
29,110,185,0
28,108,185,0
28,108,185,0
28,107,186,0
28,107,186,0
29,109,188,0
29,109,188,0
29,111,188,0
29,110,190,0
28,105,189,0
28,106,187,0
28,106,186,0
28,106,186,0
28,102,188,0
28,116,185,0
28,116,184,0
28,117,183,0
28,116,185,0
28,115,187,0
28,114,188,0
29,111,184,0
29,112,182,0
29,109,187,0
29,110,185,0
29,111,184,0
29,110,185,0
29,109,184,0
29,110,183,0
29,110,183,0
29,109,184,0
29,114,184,0
29,113,185,0
29,110,185,0
29,111,184,0
28,109,183,0
28,109,183,0
28,108,184,0
28,107,186,0
29,108,189,0
29,109,187,0
29,112,187,0
29,112,187,0
28,107,186,0
28,108,184,0
28,107,183,0
28,107,183,0
28,102,187,0
28,116,185,0
28,116,184,0
28,117,183,0
28,117,183,0
28,115,186,0
28,114,188,0
29,111,184,0
29,113,180,0
29,110,186,0
29,111,184,0
29,111,183,0
29,111,184,0
29,109,184,0
29,109,184,0
29,109,184,0
29,109,185,0
29,114,184,0
29,114,184,0
29,111,184,0
29,112,182,0
28,110,181,0
28,109,183,0
28,106,187,0
28,105,190,0
29,106,193,0
29,107,190,0
29,111,188,0
29,112,186,0
28,108,185,0
28,108,185,0
28,106,186,0
28,104,188,0
28,101,189,0
28,115,186,0
28,116,185,0
28,116,184,0
28,116,184,0
28,115,186,0
28,114,188,0
28,112,187,0
28,114,183,0
29,109,187,0
29,111,184,0
29,111,183,0
29,111,184,0
29,110,185,0
29,110,185,0
29,109,184,0
29,109,184,0
29,114,184,0
29,114,184,0
29,111,184,0
29,111,183,0
28,109,183,0
28,108,184,0
28,105,189,0
28,104,192,0
29,106,193,0
29,107,191,0
29,111,189,0
29,111,189,0
28,105,189,0
28,105,189,0
28,103,190,0
28,102,193,0
28,100,191,0
28,115,186,0
28,115,186,0
28,116,185,0
28,116,184,0
28,115,186,0
28,114,188,0
28,111,188,0
28,113,185,0
29,109,187,0
29,110,185,0
29,111,184,0
29,110,185,0
29,110,185,0
29,111,184,0
29,111,182,0
29,111,182,0
29,114,183,0
29,114,184,0
29,110,185,0
29,110,186,0
28,107,186,0
28,107,186,0
28,106,187,0
28,106,188,0
29,109,187,0
29,109,187,0
29,111,188,0
29,111,189,0
28,105,190,0
28,105,189,0
28,104,189,0
28,103,190,0
28,101,190,0
28,115,186,0
28,114,188,0
28,115,187,0
28,116,184,0
28,116,184,0
28,115,186,0
28,112,186,0
28,114,184,0
29,111,184,0
29,111,184,0
29,110,185,0
29,110,186,0
29,110,185,0
29,111,184,0
29,111,183,0
29,111,184,0
29,114,184,0
29,113,185,0
29,110,186,0
29,109,187,0
28,106,188,0
28,106,188,0
28,106,188,0
28,106,188,0
29,110,185,0
29,110,185,0
29,112,187,0
29,110,190,0
28,105,190,0
28,106,188,0
28,105,187,0
28,105,187,0
28,104,189,0
28,115,187,0
28,113,189,0
28,114,188,0
28,116,184,0
28,118,182,0
28,116,184,0
28,114,184,0
28,115,182,0
29,113,181,0
29,112,182,0
29,111,184,0
29,110,186,0
29,110,186,0
29,110,185,0
29,110,185,0
29,109,187,0
29,112,187,0
29,112,186,0
29,110,186,0
29,110,186,0
28,106,188,0
28,105,189,0
28,105,190,0
28,104,191,0
29,107,190,0
29,108,189,0
29,110,190,0
29,109,191,0
28,104,191,0
28,105,190,0
28,103,190,0
28,103,190,0
28,103,190,0
28,118,182,0
28,116,184,0
28,116,184,0
28,117,183,0
28,117,183,0
28,116,185,0
28,112,186,0
28,112,186,0
28,112,187,0
28,112,186,0
29,111,183,0
29,111,184,0
29,110,186,0
29,109,187,0
29,110,185,0
29,111,183,0
29,114,184,0
29,113,185,0
29,111,184,0
29,110,185,0
28,106,188,0
28,106,187,0
28,106,188,0
28,104,191,0
29,108,189,0
29,109,188,0
29,111,188,0
29,111,188,0
28,106,188,0
28,105,189,0
28,103,190,0
28,103,190,0
28,105,187,0
28,116,184,0
28,115,186,0
28,115,187,0
28,116,185,0
28,116,184,0
28,116,185,0
28,112,186,0
28,112,186,0
28,112,187,0
28,112,187,0
29,111,184,0
29,110,185,0
29,110,186,0
29,110,186,0
29,110,185,0
29,111,184,0
29,114,184,0
29,114,184,0
