h,s,v,value
95,39,111,1.000
95,34,129,1.000
95,35,130,1.000
95,36,128,1.000
90,36,128,1.000
90,36,126,1.000
87,40,129,1.000
87,39,130,1.000
83,42,128,1.000
83,42,128,1.000
83,42,129,1.000
83,42,129,1.000
83,41,130,1.000
83,41,130,1.000
87,40,129,1.000
87,40,128,1.000
83,41,131,1.000
83,40,133,1.000
83,40,135,1.000
83,40,135,1.000
83,39,136,1.000
83,40,135,1.000
83,40,134,1.000
83,40,133,1.000
80,42,129,1.000
80,41,130,1.000
80,42,128,1.000
80,42,129,1.000
80,40,133,1.000
80,41,132,1.000
80,42,129,1.000
80,42,129,1.000
82,43,135,1.000
82,42,139,1.000
82,42,141,1.000
82,41,142,1.000
82,41,142,1.000
82,41,144,1.000
82,40,145,1.000
82,41,144,1.000
83,37,144,1.000
83,38,142,1.000
83,38,142,1.000
83,37,143,1.000
83,38,142,1.000
83,38,140,1.000
83,38,142,1.000
83,37,144,1.000
83,37,143,1.000
83,37,145,1.000
83,37,146,1.000
83,37,146,1.000
83,36,148,1.000
83,35,152,1.000
82,38,156,1.000
82,37,157,1.000
83,35,155,1.000
83,34,156,1.000
83,34,159,1.000
83,33,161,1.000
84,30,159,1.000
84,31,157,1.000
84,26,157,1.000
84,26,159,1.000
87,30,161,1.000
87,31,156,1.000
87,32,153,1.000
87,31,155,1.000
87,31,157,1.000
87,31,156,1.000
87,32,153,1.000
87,32,152,1.000
90,30,153,1.000
90,30,151,1.000
90,30,154,1.000
90,29,157,1.000
90,29,157,1.000
90,29,159,1.000
90,29,160,1.000
90,29,158,1.000
92,23,163,1.000
92,24,157,1.000
90,26,159,1.000
90,25,165,1.000
90,25,165,1.000
90,25,164,1.000
92,23,164,1.000
92,23,163,1.000
92,23,163,1.000
92,24,161,1.000
95,19,161,1.000
95,19,161,1.000
98,18,158,1.000
98,18,158,1.000
103,14,165,1.000
95,41,107,1.000
95,34,126,1.000
95,36,128,1.000
90,33,124,1.000
90,37,124,1.000
87,39,123,1.000
87,40,126,1.000
83,42,129,1.000
83,42,127,1.000
83,44,122,1.000
83,45,119,1.000
83,45,120,1.000
83,44,122,1.000
83,44,122,1.000
87,42,122,1.000
87,41,123,1.000
83,43,124,1.000
83,43,125,1.000
83,43,125,1.000
83,44,123,1.000
83,43,124,1.000
83,43,125,1.000
83,43,124,1.000
83,44,122,1.000
80,44,122,1.000
80,44,123,1.000
80,45,120,1.000
80,45,119,1.000
80,44,122,1.000
80,44,122,1.000
80,44,121,1.000
80,43,124,1.000
80,51,116,1.000
80,49,119,1.000
82,48,121,1.000
80,48,121,1.000
82,48,121,1.000
80,48,122,1.000
82,48,121,1.000
80,49,119,1.000
83,44,122,1.000
80,43,124,1.000
83,44,123,1.000
80,44,122,1.000
83,44,122,1.000
80,43,125,1.000
83,43,125,1.000
80,43,124,1.000
83,45,120,1.000
80,44,122,1.000
83,44,123,1.000
80,43,124,1.000
83,44,123,1.000
80,44,121,1.000
82,48,122,1.000
80,48,123,1.000
83,43,124,1.000
80,43,124,1.000
83,44,123,1.000
80,43,125,1.000
84,38,126,1.000
81,38,127,1.000
84,32,126,1.000
84,39,125,1.000
84,38,126,1.000
84,40,122,1.000
84,40,120,1.000
84,40,122,1.000
87,39,124,1.000
84,39,123,1.000
87,40,122,1.000
87,40,122,1.000
87,41,119,1.000
87,41,117,1.000
87,41,118,1.000
87,40,120,1.000
87,41,119,1.000
87,40,121,1.000
90,38,122,1.000
87,40,122,1.000
90,34,121,1.000
88,35,118,1.000
90,34,121,1.000
87,38,127,1.000
90,32,128,1.000
88,32,129,1.000
90,31,131,1.000
88,32,129,1.000
90,32,128,1.000
90,29,122,1.000
95,24,138,1.000
93,21,133,1.000
95,25,122,1.000
96,20,129,1.000
98,21,135,1.000
95,40,115,1.000
95,35,133,1.000
90,31,133,1.000
90,31,132,1.000
90,35,132,1.000
87,38,129,1.000
87,38,133,1.000
83,39,137,1.000
82,44,134,1.000
80,46,127,1.000
80,48,123,1.000
80,47,126,1.000
82,46,127,1.000
82,47,125,1.000
82,47,125,1.000
82,46,128,1.000
82,45,131,1.000
82,44,132,1.000
