h,s,v,value
21,12,205,1
21,13,200,1
14,17,200,1
14,17,200,1
13,20,202,1
13,20,202,1
15,23,204,1
18,21,205,1
20,23,203,1
23,20,202,1
25,23,204,1
25,22,205,1
19,26,208,1
19,26,208,1
15,29,211,1
15,29,211,1
11,33,211,1
11,32,212,1
11,32,213,1
11,32,215,1
11,32,216,1
11,32,216,1
11,32,215,1
11,32,214,1
11,32,212,1
11,32,212,1
11,32,213,1
11,32,212,1
11,33,210,1
11,33,209,1
11,33,208,1
11,33,208,1
9,35,212,1
9,34,215,1
9,34,219,1
9,34,219,1
9,34,216,1
9,35,211,1
9,35,209,1
9,35,209,1
9,35,214,1
9,34,217,1
9,34,218,1
9,34,217,1
9,35,213,1
9,35,211,1
9,35,212,1
11,34,213,1
8,31,213,1
10,30,210,1
10,31,209,1
10,30,210,1
10,30,211,1
10,30,210,1
10,30,212,1
10,30,214,1
10,30,214,1
10,30,214,1
10,30,213,1
10,30,211,1
10,30,210,1
10,30,210,1
10,30,212,1
10,30,213,1
8,32,216,1
8,32,214,1
8,32,212,1
8,32,212,1
8,32,212,1
8,32,212,1
8,32,212,1
8,32,213,1
8,33,210,1
8,32,212,1
8,32,212,1
8,33,210,1
8,33,210,1
8,32,212,1
8,32,212,1
8,33,210,1
6,35,214,1
6,34,215,1
6,31,213,1
6,31,212,1
5,28,210,1
5,28,209,1
4,29,210,1
6,32,210,1
4,33,214,1
6,35,214,1
4,34,213,1
6,31,211,1
1,26,210,1
5,22,207,1
178,20,208,1
175,15,206,1
164,14,203,1
156,13,204,1
16,14,200,1
21,17,194,1
14,17,192,1
13,21,192,1
11,22,194,1
14,25,195,1
14,25,195,1
17,25,196,1
20,24,195,1
21,26,196,1
21,26,197,1
22,28,198,1
19,27,200,1
19,30,201,1
15,30,203,1
13,31,204,1
11,34,204,1
11,34,204,1
11,34,204,1
11,33,206,1
11,33,208,1
11,33,208,1
11,33,207,1
11,33,206,1
11,34,203,1
11,34,204,1
11,34,205,1
11,34,205,1
11,34,204,1
11,34,203,1
11,34,202,1
11,35,203,1
9,36,208,1
9,35,209,1
9,35,210,1
9,35,209,1
9,36,207,1
9,36,204,1
9,36,203,1
9,36,204,1
9,36,205,1
9,36,208,1
9,35,212,1
9,35,212,1
9,35,209,1
9,36,207,1
9,36,207,1
9,35,209,1
8,32,210,1
10,31,206,1
8,32,206,1
10,31,205,1
8,32,206,1
10,31,205,1
8,32,208,1
10,30,210,1
8,31,211,1
10,30,210,1
8,32,209,1
10,31,207,1
8,32,208,1
10,31,208,1
8,31,212,1
8,31,214,1
8,32,215,1
8,32,212,1
8,33,210,1
8,33,209,1
8,33,209,1
8,33,207,1
8,33,207,1
8,33,207,1
8,33,209,1
8,33,210,1
8,33,210,1
8,33,209,1
8,33,209,1
8,33,211,1
8,33,211,1
8,33,210,1
6,35,213,1
6,35,214,1
6,35,214,1
6,31,212,1
6,31,211,1
7,31,209,1
6,32,210,1
6,32,210,1
6,35,209,1
6,35,209,1
6,36,208,1
6,32,206,1
5,29,205,1
3,25,204,1
0,20,202,1
0,15,199,1
169,14,202,1
163,11,203,1
16,19,202,1
15,23,196,1
11,23,191,1
14,25,190,1
12,29,193,1
15,32,193,1
15,32,193,1
16,34,193,1
19,32,191,1
21,31,190,1
21,31,191,1
20,34,193,1
16,34,196,1
17,38,197,1
13,37,200,1
13,37,200,1
12,38,201,1
12,38,200,1
12,38,200,1
12,38,202,1
12,37,205,1
12,37,206,1
12,37,206,1
12,38,204,1
12,38,201,1
12,38,202,1
12,38,203,1
12,38,203,1
12,38,202,1
12,38,201,1
12,38,201,1
12,38,201,1
11,38,206,1
11,38,206,1
11,38,206,1
11,39,205,1
11,39,204,1
11,39,202,1
11,39,201,1
11,40,200,1
11,40,199,1
11,39,203,1
11,38,208,1
11,38,210,1
11,38,208,1
11,38,207,1
11,38,206,1
11,38,207,1
9,36,208,1
11,35,204,1
9,36,204,1
11,35,203,1
9,36,204,1
11,35,203,1
9,36,206,1
