h,s,v,value
12,27,209,0.5
13,32,199,0.5
15,41,194,0.5
14,47,196,0.5
14,51,199,0.5
15,58,198,0.5
14,59,202,0.5
15,59,206,0.5
16,58,203,0.5
16,58,204,0.5
17,57,202,0.5
17,58,199,0.5
17,62,199,0.5
17,61,200,0.5
16,66,202,0.5
16,64,200,0.5
16,58,201,0.5
15,58,199,0.5
15,58,198,0.5
15,57,201,0.5
15,57,201,0.5
15,58,199,0.5
13,57,200,0.5
13,57,201,0.5
12,58,201,0.5
12,58,202,0.5
12,56,202,0.5
12,56,202,0.5
11,57,202,0.5
11,57,202,0.5
11,56,204,0.5
11,55,207,0.5
12,57,206,0.5
12,57,206,0.5
12,57,205,0.5
12,58,204,0.5
12,58,203,0.5
12,58,202,0.5
14,60,200,0.5
14,60,199,0.5
14,59,203,0.5
14,59,203,0.5
16,58,202,0.5
16,58,203,0.5
16,58,204,0.5
16,58,203,0.5
16,59,200,0.5
16,59,198,0.5
15,63,207,0.5
15,64,202,0.5
15,65,200,0.5
15,64,202,0.5
15,64,202,0.5
15,65,201,0.5
15,64,203,0.5
15,63,208,0.5
15,63,206,0.5
15,64,202,0.5
15,64,202,0.5
15,63,207,0.5
15,63,208,0.5
15,64,203,0.5
15,65,201,0.5
15,64,203,0.5
14,65,204,0.5
14,65,205,0.5
14,65,205,0.5
14,65,203,0.5
14,65,203,0.5
14,65,204,0.5
13,67,206,0.5
13,67,205,0.5
13,66,208,0.5
13,67,207,0.5
13,67,208,0.5
13,67,209,0.5
13,67,210,0.5
13,66,211,0.5
13,66,212,0.5
13,68,213,0.5
14,71,208,0.5
15,73,207,0.5
14,71,209,0.5
14,71,207,0.5
14,70,203,0.5
14,70,205,0.5
13,67,207,0.5
12,65,205,0.5
13,61,204,0.5
11,58,205,0.5
10,52,205,0.5
10,52,205,0.5
12,28,211,0.5
13,32,201,0.5
13,42,196,0.5
14,47,197,0.5
13,52,200,0.5
14,60,200,0.5
14,62,202,0.5
15,60,205,0.5
15,60,205,0.5
16,58,204,0.5
16,58,202,0.5
16,59,199,0.5
16,63,201,0.5
16,63,202,0.5
15,67,203,0.5
16,63,201,0.5
15,60,203,0.5
15,61,201,0.5
14,60,201,0.5
15,61,202,0.5
14,59,203,0.5
14,59,202,0.5
13,61,202,0.5
13,60,203,0.5
13,61,202,0.5
13,62,203,0.5
11,59,204,0.5
11,59,203,0.5
11,59,202,0.5
11,61,204,0.5
11,61,206,0.5
11,58,207,0.5
11,58,207,0.5
13,60,205,0.5
13,61,206,0.5
13,60,204,0.5
13,61,204,0.5
13,61,202,0.5
14,62,201,0.5
14,62,201,0.5
14,62,202,0.5
15,61,201,0.5
15,61,201,0.5
16,63,202,0.5
15,60,203,0.5
16,63,203,0.5
15,61,201,0.5
16,64,200,0.5
15,63,206,0.5
15,64,202,0.5
14,66,202,0.5
15,64,203,0.5
14,65,203,0.5
15,65,200,0.5
14,66,201,0.5
15,64,203,0.5
14,65,205,0.5
15,64,202,0.5
14,65,204,0.5
15,63,207,0.5
14,63,210,0.5
15,63,205,0.5
14,65,203,0.5
14,65,203,0.5
14,65,203,0.5
14,65,204,0.5
14,65,205,0.5
14,65,204,0.5
14,65,204,0.5
14,64,206,0.5
13,66,209,0.5
13,66,208,0.5
13,67,207,0.5
13,67,206,0.5
13,68,207,0.5
13,68,207,0.5
13,67,208,0.5
13,67,209,0.5
13,67,210,0.5
13,69,211,0.5
14,71,207,0.5
15,73,207,0.5
14,71,209,0.5
14,71,207,0.5
14,70,203,0.5
14,70,204,0.5
13,67,206,0.5
12,65,203,0.5
13,62,203,0.5
11,58,205,0.5
12,54,206,0.5
10,52,207,0.5
11,32,214,0.5
12,37,205,0.5
12,46,200,0.5
13,52,201,0.5
12,58,204,0.5
13,61,202,0.5
13,63,203,0.5
14,65,205,0.5
13,62,207,0.5
14,61,206,0.5
14,61,205,0.5
15,61,201,0.5
15,64,202,0.5
15,64,203,0.5
15,67,205,0.5
15,68,204,0.5
14,65,205,0.5
15,64,203,0.5
14,62,202,0.5
15,64,203,0.5
14,61,204,0.5
14,62,203,0.5
13,63,204,0.5
13,62,205,0.5
13,63,204,0.5
12,64,207,0.5
12,64,207,0.5
12,64,206,0.5
12,63,205,0.5
11,64,206,0.5
11,64,208,0.5
12,65,209,0.5
12,64,208,0.5
13,62,206,0.5
12,64,207,0.5
13,63,204,0.5
13,67,206,0.5
14,65,203,0.5
14,66,202,0.5
14,66,202,0.5
14,65,203,0.5
15,65,201,0.5
15,65,200,0.5
15,68,200,0.5
15,65,201,0.5
15,67,202,0.5
15,64,203,0.5
15,68,204,0.5
15,67,205,0.5
15,68,203,0.5
14,70,205,0.5
15,67,205,0.5
14,69,206,0.5
15,69,201,0.5
14,71,202,0.5
15,68,202,0.5
14,70,205,0.5
15,68,203,0.5
14,69,206,0.5
15,67,206,0.5
14,68,209,0.5
15,67,205,0.5
14,70,204,0.5
14,71,201,0.5
14,71,202,0.5
14,70,204,0.5
14,70,205,0.5
14,70,205,0.5
14,70,205,0.5
14,69,208,0.5
14,68,209,0.5
14,68,209,0.5
14,69,207,0.5
14,69,207,0.5
14,69,206,0.5
14,70,205,0.5
14,69,206,0.5
14,69,207,0.5
13,70,209,0.5
13,70,209,0.5
14,72,206,0.5
15,73,206,0.5
14,71,208,0.5
14,72,206,0.5
14,71,202,0.5
14,70,203,0.5
13,67,205,0.5
12,66,202,0.5
13,61,204,0.5
11,58,205,0.5
12,54,206,0.5
12,54,207,0.5
11,37,216,0.5
13,41,207,0.5
12,49,202,0.5
12,54,203,0.5
13,61,206,0.5
12,64,206,0.5
13,68,206,0.5
13,67,207,0.5
12,63,209,0.5
13,62,207,0.5
13,62,205,0.5
13,63,204,0.5
13,67,205,0.5
13,67,206,0.5
13,70,208,0.5
14,69,207,0.5
14,69,208,0.5
14,69,206,0.5
13,67,205,0.5
14,69,206,0.5
14,69,206,0.5
14,69,207,0.5
13,70,208,0.5
13,70,208,0.5
13,70,207,0.5
13,70,208,0.5
13,72,210,0.5
13,72,209,0.5
12,70,208,0.5
12,70,209,0.5
12,69,211,0.5
12,69,211,0.5
13,70,208,0.5
13,70,208,0.5
13,70,208,0.5
13,70,207,0.5
14,73,206,0.5
14,73,206,0.5
14,73,205,0.5
14,73,204,0.5
14,72,206,0.5
14,72,205,0.5
14,70,204,0.5
14,73,204,0.5
14,70,205,0.5
14,72,206,0.5
14,69,206,0.5
14,69,207,0.5
14,69,206,0.5
14,70,205,0.5
13,71,206,0.5
14,69,207,0.5
13,70,208,0.5
14,70,205,0.5
13,71,205,0.5
14,70,205,0.5
13,71,205,0.5
14,69,206,0.5
13,70,207,0.5
14,70,205,0.5
13,70,207,0.5
14,69,207,0.5
13,71,206,0.5
14,71,200,0.5
14,71,201,0.5
14,70,204,0.5
14,70,205,0.5
14,70,205,0.5
14,70,205,0.5
14,69,207,0.5
14,69,208,0.5
14,68,209,0.5
14,69,208,0.5
14,69,208,0.5
14,69,207,0.5
14,69,206,0.5
14,69,206,0.5
14,69,207,0.5
13,70,209,0.5
14,72,209,0.5
14,72,205,0.5
15,73,205,0.5
14,71,207,0.5
14,72,206,0.5
14,71,202,0.5
