h,s,v,value
80,12,185,0
87,14,184,0
90,19,185,0
90,25,187,0
94,32,191,0
91,36,190,0
94,39,192,0
91,39,192,0
91,36,190,0
89,35,188,0
87,35,188,0
87,35,187,0
87,35,187,0
87,36,186,0
89,36,186,0
89,36,185,0
93,42,188,0
93,42,188,0
92,43,188,0
92,44,187,0
92,44,186,0
92,44,186,0
92,44,187,0
92,43,188,0
92,43,189,0
92,43,188,0
92,45,188,0
92,45,188,0
92,45,188,0
92,45,188,0
92,45,187,0
92,45,186,0
92,45,186,0
92,45,186,0
92,45,187,0
92,45,187,0
92,45,188,0
92,45,189,0
92,45,189,0
92,44,190,0
92,44,190,0
92,44,190,0
92,44,190,0
92,45,189,0
92,45,189,0
92,45,188,0
92,45,188,0
92,45,188,0
93,46,190,0
93,46,190,0
93,46,189,0
93,46,188,0
93,46,188,0
93,46,188,0
93,46,188,0
93,46,188,0
92,49,186,0
92,49,186,0
92,49,187,0
92,49,187,0
92,49,188,0
92,49,187,0
92,49,187,0
92,49,187,0
93,53,189,0
93,53,188,0
93,53,188,0
93,53,188,0
93,53,189,0
93,53,188,0
94,52,186,0
94,52,185,0
94,52,186,0
94,52,186,0
94,52,186,0
94,52,186,0
94,52,186,0
94,52,186,0
94,52,186,0
94,52,187,0
93,47,186,0
93,47,186,0
94,49,187,0
94,49,188,0
94,51,189,0
94,51,190,0
94,51,189,0
94,51,189,0
94,49,189,0
94,49,188,0
94,45,187,0
94,45,188,0
94,43,189,0
94,43,190,0
79,16,178,0
85,17,176,0
88,23,177,0
91,30,180,0
92,36,182,0
91,38,181,0
93,43,183,0
92,44,184,0
91,41,180,0
88,41,179,0
88,41,179,0
86,42,178,0
86,42,178,0
86,42,177,0
88,42,177,0
91,42,177,0
93,44,179,0
92,45,180,0
92,45,180,0
92,47,180,0
92,47,179,0
92,47,179,0
92,46,181,0
92,46,182,0
92,46,183,0
92,46,182,0
92,46,182,0
91,49,182,0
91,49,182,0
91,49,182,0
91,49,181,0
91,50,180,0
91,50,179,0
91,50,180,0
91,50,180,0
91,49,181,0
91,49,182,0
91,49,183,0
91,49,184,0
91,49,184,0
91,49,184,0
91,49,184,0
91,49,183,0
91,49,183,0
91,49,183,0
91,49,182,0
91,49,182,0
91,49,182,0
92,51,181,0
92,51,181,0
92,51,180,0
92,51,179,0
92,51,179,0
92,51,179,0
92,51,179,0
92,51,179,0
92,52,181,0
92,52,181,0
92,52,182,0
92,52,182,0
92,52,182,0
92,52,182,0
92,52,182,0
92,52,182,0
92,57,185,0
92,57,184,0
92,57,184,0
92,57,185,0
92,57,185,0
92,57,185,0
93,54,184,0
93,54,183,0
93,55,182,0
93,55,182,0
93,55,182,0
93,55,182,0
93,55,182,0
93,55,182,0
93,55,182,0
93,54,183,0
92,50,184,0
92,50,184,0
94,52,186,0
94,52,186,0
94,52,187,0
93,53,187,0
93,53,186,0
93,53,186,0
94,52,187,0
94,52,187,0
94,49,187,0
93,47,186,0
94,45,187,0
94,45,187,0
85,18,171,0
84,22,171,0
87,28,171,0
91,32,174,0
91,39,175,0
92,46,176,0
93,49,177,0
92,48,177,0
90,44,173,0
88,44,173,0
88,44,173,0
88,44,172,0
88,44,172,0
88,45,171,0
90,45,171,0
89,47,172,0
92,48,176,0
92,48,177,0
92,48,177,0
91,51,176,0
91,51,176,0
91,51,176,0
91,50,177,0
91,50,177,0
91,50,179,0
91,50,178,0
91,50,178,0
90,52,178,0
90,51,179,0
90,52,178,0
90,52,178,0
90,52,177,0
90,52,176,0
90,52,176,0
90,52,177,0
90,52,178,0
90,51,179,0
90,51,180,0
90,51,181,0
90,51,181,0
90,51,181,0
90,51,181,0
90,51,180,0
90,51,179,0
90,51,179,0
90,51,180,0
90,51,180,0
90,51,180,0
92,51,184,0
92,52,183,0
92,52,182,0
92,52,181,0
92,52,181,0
92,52,181,0
91,55,181,0
91,55,182,0
91,55,180,0
91,55,180,0
91,55,180,0
91,55,180,0
91,55,180,0
91,55,180,0
90,56,181,0
90,56,181,0
91,59,183,0
91,59,183,0
91,59,183,0
91,58,184,0
91,58,185,0
91,58,186,0
91,58,185,0
91,58,185,0
92,56,186,0
92,56,186,0
92,56,186,0
92,56,186,0
92,56,186,0
92,56,186,0
92,56,187,0
92,56,187,0
93,54,184,0
93,54,185,0
93,53,186,0
92,56,187,0
94,58,188,0
94,58,188,0
94,58,188,0
94,58,188,0
94,55,189,0
93,53,186,0
94,52,185,0
94,52,185,0
93,47,184,0
93,47,185,0
84,24,170,0
87,29,170,0
87,33,171,0
89,38,173,0
92,46,176,0
92,48,174,0
92,52,175,0
92,54,176,0
91,51,174,0
89,50,173,0
89,50,173,0
87,51,174,0
87,52,173,0
87,52,173,0
89,50,172,0
89,50,172,0
90,51,179,0
90,51,179,0
90,51,179,0
90,52,178,0
90,52,177,0
89,56,177,0
89,56,177,0
89,56,178,0
89,56,179,0
89,56,179,0
89,56,178,0
89,56,179,0
89,56,179,0
89,57,179,0
89,57,178,0
89,58,177,0
89,57,178,0
89,57,178,0
89,57,179,0
89,57,179,0
89,57,180,0
89,56,181,0
89,56,181,0
89,56,181,0
89,56,181,0
89,56,181,0
89,57,180,0
89,57,180,0
89,57,180,0
89,56,181,0
89,56,181,0
89,56,182,0
90,56,183,0
90,56,182,0
90,56,181,0
90,57,180,0
90,57,180,0
90,57,180,0
89,59,182,0
89,59,182,0
89,59,183,0
89,59,183,0
89,59,182,0
89,59,182,0
89,59,182,0
89,59,182,0
89,61,183,0
89,61,183,0
91,62,184,0
91,62,184,0
91,62,185,0
91,62,185,0
91,62,186,0
91,61,187,0
91,61,187,0
91,61,187,0
91,59,185,0
91,59,185,0
91,59,185,0
91,59,185,0
91,59,185,0
91,59,185,0
91,59,185,0
91,59,186,0
91,58,186,0
91,57,187,0
91,57,188,0
91,57,188,0
93,61,189,0
93,61,189,0
93,60,190,0
93,60,192,0
93,59,190,0
93,59,189,0
94,58,188,0
92,57,185,0
93,53,186,0
92,51,185,0
87,29,170,0
87,30,169,0
90,36,171,0
91,43,174,0
92,48,176,0
92,54,175,0
92,59,176,0
91,57,175,0
89,57,176,0
88,57,175,0
88,53,174,0
88,53,174,0
88,53,174,0
88,53,174,0
89,57,175,0
89,57,175,0
91,55,180,0
91,55,180,0
91,55,180,0
90,57,179,0
90,57,178,0
90,58,177,0
90,58,177,0
90,58,177,0
90,57,178,0
90,57,178,0
90,58,177,0
89,60,179,0
89,60,179,0
89,60,179,0
89,60,178,0
89,60,178,0
89,63,179,0
89,62,180,0
89,62,180,0
89,62,181,0
89,62,181,0
89,62,181,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,181,0
89,62,181,0
89,62,182,0
89,61,183,0
89,62,182,0
89,62,181,0
89,62,181,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,180,0
89,62,181,0
89,64,184,0
89,64,184,0
89,64,183,0
89,64,183,0
89,64,183,0
89,64,183,0
89,64,184,0
89,64,184,0
90,67,184,0
90,67,184,0
90,67,184,0
90,67,184,0
90,67,184,0
90,66,185,0
90,63,185,0
90,63,186,0
90,63,185,0
90,64,184,0
90,64,184,0
90,64,184,0
90,64,184,0
90,63,185,0
90,63,185,0
90,63,185,0
92,64,187,0
93,61,188,0
92,64,188,0
92,64,188,0
94,65,191,0
94,65,192,0
94,64,194,0
94,64,196,0
94,62,194,0
93,60,190,0
93,59,189,0
91,57,187,0
92,56,187,0
92,56,188,0
87,30,171,0
87,33,171,0
91,40,174,0
92,46,177,0
92,52,178,0
92,58,179,0
91,60,178,0
91,60,179,0
