h,s,v,value
1,80,182,5
1,84,183,5
0,90,188,5
1,95,193,5
1,101,201,5
1,105,201,5
1,106,202,5
1,105,202,5
0,103,200,5
1,101,197,5
179,98,198,5
0,96,197,5
0,96,197,5
0,96,196,5
0,100,199,5
1,103,199,5
1,107,198,5
2,108,199,5
2,107,200,5
2,107,201,5
2,106,200,5
2,105,201,5
2,104,199,5
2,104,199,5
2,105,196,5
2,106,194,5
3,106,192,5
3,105,194,5
3,103,194,5
3,103,194,5
3,103,193,5
3,103,193,5
2,101,195,5
2,101,194,5
2,101,194,5
2,101,194,5
2,101,194,5
2,101,194,5
2,99,194,5
2,99,194,5
1,96,193,5
1,97,192,5
1,97,192,5
1,96,193,5
0,95,194,5
0,94,195,5
0,94,195,5
0,92,194,5
1,95,194,5
1,94,193,5
1,93,194,5
1,93,194,5
1,93,194,5
1,94,193,5
2,92,191,5
2,93,190,5
2,91,191,5
2,89,194,5
2,89,194,5
2,91,191,5
2,89,189,5
2,88,192,5
2,87,193,5
2,90,192,5
3,95,191,5
2,97,192,5
2,97,191,5
2,97,192,5
2,95,195,5
2,95,195,5
3,94,192,5
3,95,190,5
3,96,188,5
3,96,188,5
3,96,189,5
3,95,190,5
3,95,190,5
3,95,190,5
3,95,190,5
3,95,190,5
3,101,190,5
3,101,189,5
3,96,188,5
3,95,190,5
2,92,189,5
2,92,189,5
3,95,190,5
3,94,192,5
3,98,196,5
3,97,197,5
3,93,195,5
2,90,192,5
1,87,188,5
0,84,185,5
2,81,182,5
0,85,184,5
1,91,188,5
2,97,194,5
1,104,201,5
2,107,201,5
1,107,202,5
1,107,203,5
1,107,198,5
1,106,197,5
0,99,196,5
0,98,195,5
0,98,195,5
0,99,195,5
1,104,197,5
1,107,196,5
2,109,196,5
2,111,197,5
2,111,198,5
2,110,199,5
3,109,199,5
3,109,199,5
3,109,199,5
3,107,197,5
3,109,195,5
3,110,192,5
3,110,190,5
3,109,192,5
3,108,194,5
4,107,191,5
4,107,190,5
4,107,190,5
3,106,192,5
3,106,192,5
3,106,192,5
3,106,192,5
3,106,192,5
3,106,192,5
2,105,192,5
2,105,192,5
1,101,194,5
1,102,193,5
1,102,193,5
1,102,193,5
0,99,194,5
0,98,195,5
0,98,195,5
1,97,192,5
2,99,193,5
2,98,193,5
2,98,193,5
2,98,193,5
2,98,193,5
2,98,193,5
2,97,191,5
2,97,191,5
2,98,190,5
3,95,191,5
3,95,190,5
3,97,187,5
3,97,186,5
3,95,188,5
3,95,188,5
3,97,186,5
3,102,188,5
3,103,188,5
3,103,188,5
3,103,189,5
3,101,191,5
3,101,191,5
3,101,190,5
3,101,189,5
3,102,188,5
3,102,188,5
3,102,188,5
3,102,188,5
3,102,188,5
3,102,188,5
3,101,189,5
3,101,189,5
4,104,189,5
4,104,187,5
3,102,188,5
3,101,189,5
3,96,188,5
3,97,187,5
3,101,189,5
3,100,191,5
4,102,193,5
4,102,193,5
3,100,192,5
3,96,189,5
1,90,186,5
1,89,183,5
2,85,185,5
3,90,184,5
3,96,189,5
4,101,194,5
3,108,201,5
3,112,201,5
3,112,202,5
3,112,202,5
2,111,198,5
3,109,198,5
